series,"12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024"
idx, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60
United States,99655,57607,50682,53838,55960,59196,63799,68054,67897,64718,67907,66782,109410,49276,42959,43789,42902,48833,49569,54388,55817,55714,58241,56959,58686,75589,66779,71331,68633,72654,73665,81875,81314,76208,81365,76562,91024,83923,72469,78301,78239,88625,89832,97932,96441,86569,90138,81842,87528,,,,,,,,,,,,
United States Clearances,15736,7653,6700,6941,7008,7562,6795,7795,7842,7247,7474,6854,16088,5715,5210,5696,5262,5329,5590,5988,5953,5726,5773,5328,5593,7355,6546,7209,6776,7056,7124,7589,7583,6712,6624,6382,9063,7407,6377,6998,6490,7382,7421,7486,7682,6748,6979,6374,7701,,,,,,,,,,,,
