year,manufacturer,make,make/model,thefts,production,rate,type
2011,TOYOTA,TOYOTA,matrix,9,0,1.96,Car
2009,FORD MOTOR CO,FORD,MUSTANG,81,41354,1.96,Car
2007,AUDI,AUDI,A8,10,5106,1.96,Car
2005,HONDA,ACURA,TSX,70,35836,1.95,Car
2004,DAIMLERCHRYSLER,CHRYSLER,PACIFICA,192,98340,1.95,MPV
2006,GENERAL MOTORS,CHEVROLET,UPLANDER VAN,122,62521,1.95,MPV
2008,JAGUAR LAND ROVER,JAGUAR,XK,3,1542,1.95,Car
2004,DAIMLERCHRYSLER,JEEP,GRAND CHEROKEE,617,317381,1.94,MPV
2007,HYUNDAI,HYUNDAI,accent,86,44314,1.94,Car
2005,ISUZU,ISUZU,ascender,14,7219,1.94,MPV
2006,TOYOTA,TOYOTA,corolla,653,336871,1.94,Car
2006,GENERAL MOTORS,SATURN,ION,186,96227,1.93,Car
2009,GENERAL MOTORS,CADILLAC,DTS,32,16566,1.93,Car
2005,MAZDA,MAZDA,rx-8,34,17608,1.93,Car
2013,HYUNDAI,HYUNDAI,accent,174,90149,1.93,Car
2014,VOLVO,VOLVO,XC 90,4,2076,1.93,MPV
2009,MAZDA,MAZDA,6,76,39504,1.92,Car
2004,HONDA,ACURA,RSX,39,20280,1.92,Car
2008,NISSAN,NISSAN,sentra,230,119932,1.92,Car
2004,DAIMLERCHRYSLER,DODGE,DAKOTA PICKUP,62,32355,1.92,Truck
2014,GENERAL MOTORS,BUICK,REGAL,37,19340,1.91,Car
2004,FORD MOTOR CO,FORD,crown victoria,63,32977,1.91,Car
2004,DAIMLERCHRYSLER,DODGE,CARAVAN/GRAND CARAVAN,162,84965,1.91,MPV
2013,NISSAN,INFINITI,G37,109,57330,1.90,Car
2011,GENERAL MOTORS,CHEVROLET,MALIBU,400,0,1.90,Car
2006,GENERAL MOTORS,BUICK,RENDEZVOUS,96,50649,1.90,MPV
2004,GENERAL MOTORS,PONTIAC,BONNEVILLE,40,21163,1.89,Car
2004,HYUNDAI,HYUNDAI,elantra,196,103787,1.89,Car
2013,MITSUBISHI,MITSUBISHI,lancer,32,16958,1.89,Car
2005,KIA,KIA,amanti,43,22858,1.88,Car
2009,MITSUBISHI,MITSUBISHI,eclipse,24,12760,1.88,Car
2008,FORD MOTOR CO,FORD,FUSION,259,137791,1.88,Car
2004,BMW,BMW,6,11,5870,1.87,Car
2005,TOYOTA,SCION,XA,60,32132,1.87,Car
2005,TOYOTA,TOYOTA,tacoma pickup,283,151776,1.86,Truck
2010,HONDA,HONDA,pilot,42,22528,1.86,MPV
2006,VOLVO,VOLVO,S 80,14,7567,1.85,Car
2005,JAGUAR,JAGUAR,xj8/xj8l,8,4330,1.85,Car
2008,TOYOTA,TOYOTA,4runner,110,59563,1.85,MPV
2012,PORSCHE,PORSCHE,panamera,13,7056,1.84,Car
2005,NISSAN,INFINITI,G35,120,65227,1.84,Car
2004,JAGUAR,JAGUAR,xjr,4,2179,1.84,Car
2005,JAGUAR,JAGUAR,s-type,25,13629,1.83,Car
2005,MAZDA,MAZDA,3,158,86184,1.83,Car
2008,TOYOTA,SCION,XB,111,60553,1.83,Car
2011,MITSUBISHI,MITSUBISHI,endeavor,22,0,1.83,MPV
2008,GENERAL MOTORS,PONTIAC,G8,22,12035,1.83,Car
2004,GENERAL MOTORS,GMC,CANYON PICKUP,39,21402,1.82,Truck
2004,MAZDA,MAZDA,rx-8,64,35147,1.82,Car
2012,NISSAN,NISSAN,versa,272,149418,1.82,Car
2007,GENERAL MOTORS,CADILLAC,CTS,97,53360,1.82,Car
2007,FORD MOTOR CO,FORD,FUSION,266,146464,1.82,Car
2006,DAIMLERCHRYSLER,JEEP,LIBERTY,266,146897,1.81,MPV
2013,AUDI,AUDI,S7,2,1106,1.81,Car
2014,MITSUBISHI,MITSUBISHI,lancer,39,21571,1.81,Car
2004,GENERAL MOTORS,BUICK,RENDEZVOUS,123,68043,1.81,MPV
2013,TOYOTA,TOYOTA,corolla,566,313314,1.81,Car
2007,NISSAN,NISSAN,pathfinder,76,42137,1.80,MPV
2007,HYUNDAI,HYUNDAI,azera,40,22218,1.80,Car
2006,NISSAN,INFINITI,G35,107,59442,1.80,Car
2005,DAIMLERCHRYSLER,CHRYSLER,PT CRUISER,240,133335,1.80,MPV
2008,VOLKSWAGEN,VOLKSWAGEN,r32,9,5001,1.80,Car
2009,NISSAN,NISSAN,altima,410,228101,1.80,Car
2006,TOYOTA,LEXUS,GS,92,51221,1.80,Car
2004,JAGUAR,JAGUAR,xkr,1,557,1.80,Car
2009,FORD MOTOR CO,MERCURY,SABLE,11,6146,1.79,Car
2009,GENERAL MOTORS,CADILLAC,CTS,91,50926,1.79,Car
2006,HYUNDAI,HYUNDAI,tiburon,41,22959,1.79,Car
2012,HONDA,ACURA,ZDX,2,1122,1.78,MPV
2010,BMW,BMW,6,5,2808,1.78,Car
2011,CHRYSLER,DODGE,AVENGER,73,0,1.78,Car
2005,TOYOTA,LEXUS,SC,16,9019,1.77,Car
2008,MITSUBISHI,MITSUBISHI,endeavor,17,9583,1.77,MPV
2006,NISSAN,INFINITI,FX45,3,1693,1.77,MPV
2014,GENERAL MOTORS,BUICK,LACROSSE,83,46951,1.77,Car
2006,GENERAL MOTORS,CADILLAC,XLR,7,3963,1.77,Car
2006,HONDA,HONDA,s2000,10,5666,1.76,Car
2013,GENERAL MOTORS,CHEVROLET,MALIBU,373,211357,1.76,Car
2006,AUDI,AUDI,a6/a6 Quattro/s6/s6 Avant,32,18143,1.76,Car
2006,DAIMLERCHRYSLER,DODGE,CARAVAN/GRAND CARAVAN,416,235960,1.76,MPV
2004,DAIMLERCHRYSLER,JEEP,LIBERTY,305,173128,1.76,MPV
2013,NISSAN,NISSAN,altima,693,393800,1.76,Car
2006,HYUNDAI,HYUNDAI,elantra,174,99126,1.76,Car
2009,VOLVO,VOLVO,S 60,12,6837,1.76,Car
2005,NISSAN,INFINITI,Q45,3,1712,1.75,Car
2011,CHRYSLER,DODGE,CALIBER,65,0,1.75,Car
2008,NISSAN,NISSAN,xterra,63,36035,1.75,MPV
2004,FORD MOTOR CO,FORD,explorer,515,294622,1.75,MPV
2011,KIA,KIA,forte,91,0,1.75,Car
2009,TOYOTA,TOYOTA,CAMRY SOLARA,781,447882,1.74,Car
2014,FERRARI,FERRARI,458,2,1150,1.74,Car
2009,TOYOTA,TOYOTA,corolla,632,363515,1.74,Car
2011,FORD MOTOR CO,FORD,MUSTANG,107,0,1.74,Car
2010,CHRYSLER,CHRYSLER,SEBRING CONVERTIBLE,16,9219,1.74,Car
2007,CHRYSLER,DODGE,GRAND CARAVAN,284,164003,1.73,MPV
2008,TOYOTA,TOYOTA,avalon,107,61851,1.73,Car
2005,NISSAN,NISSAN,pathfinder,143,82667,1.73,MPV
2007,GENERAL MOTORS,CHEVROLET,CORVETTE,65,37744,1.72,Car
2006,MAZDA,MAZDA,5,35,20328,1.72,Car
2008,FORD MOTOR CO,FORD,crown victoria,16,9299,1.72,Car
2007,BMW,BMW,m5,2,1163,1.72,Car
2004,VOLKSWAGEN,VOLKSWAGEN,phaeton,4,2326,1.72,Car
2007,VOLKSWAGEN,VOLKSWAGEN,jetta,146,84922,1.72,Car
2011,SAAB,SAAB,43711,3,0,1.71,Car
2010,MITSUBISHI,MITSUBISHI,endeavor,8,4674,1.71,MPV
2013,KIA,KIA,rio,117,68364,1.71,Car
2008,GENERAL MOTORS,CHEVROLET,CORVETTE,56,32882,1.70,Car
2005,SUBARU,SUBARU,baja,14,8244,1.70,MPV
2012,MERCEDES-BENZ,MERCEDES-BENZ,glk-class,45,26554,1.69,MPV
2009,HYUNDAI,HYUNDAI,sonata,270,159775,1.69,Car
2009,GENERAL MOTORS,CHEVROLET,TRAILBLAZER,22,13022,1.69,MPV
2008,JAGUAR LAND ROVER,LAND ROVER,S-TYPE,3,1779,1.69,Car
2005,AUDI,AUDI,a4/a4 Quattro/s4/s4 Avant,80,47470,1.69,Car
2005,GENERAL MOTORS,CHEVROLET,TRAILBLAZER,311,184671,1.68,MPV
2013,GENERAL MOTORS,CHEVROLET,SPARK,65,38612,1.68,Car
2012,BMW,BMW,7,23,13696,1.68,Car
2004,MERCEDES-BENZ,MERCEDES-BENZ,129 (sl-class),20,11928,1.68,Car
2014,NISSAN,NISSAN,xterra,21,12525,1.68,MPV
2005,TOYOTA,TOYOTA,CAMRY SOLARA,732,437173,1.67,Car
2013,VOLKSWAGEN,VOLKSWAGEN,cc,54,32257,1.67,Car
2005,NISSAN,NISSAN,quest van,60,35913,1.67,MPV
2006,JAGUAR,JAGUAR,x-type,10,5994,1.67,Car
2005,GENERAL MOTORS,PONTIAC,AZTEK,17,10197,1.67,MPV
2009,TOYOTA,TOYOTA,4runner,13,7803,1.67,MPV
2008,NISSAN,NISSAN,altima,506,304132,1.66,Car
2014,TOYOTA,SCION,FR-S,15,9019,1.66,Car
2013,BMW,BMW,7,20,12059,1.66,Car
2013,AUDI,AUDI,S6,3,1809,1.66,Car
2004,NISSAN,INFINITI,FX35,44,26531,1.66,MPV
2005,DAIMLERCHRYSLER,JEEP,GRAND CHEROKEE,356,214714,1.66,MPV
2008,GENERAL MOTORS,PONTIAC,TORRENT,47,28370,1.66,MPV
2006,NISSAN,NISSAN,quest van,42,25378,1.66,MPV
2009,BMW,BMW,6,4,2420,1.65,Car
2008,MAZDA,MAZDA,5,27,16389,1.65,Car
2006,FORD MOTOR CO,FORD,FREESTAR VAN,84,51143,1.64,MPV
2010,VOLVO,VOLVO,S 40,12,7306,1.64,Car
2007,GENERAL MOTORS,PONTIAC,G5,54,32894,1.64,Car
2012,NISSAN,NISSAN,sentra,229,139585,1.64,Car
2006,MERCEDES-BENZ,MERCEDES-BENZ,203 (c-class),89,54492,1.63,Car
2011,GENERAL MOTORS,CADILLAC,DTS,28,0,1.63,Car
2004,DAIMLERCHRYSLER,CHRYSLER,300M,34,20836,1.63,Car
2008,BENTLEY MOTORS,BENTLEY MOTORS,CONTINENTAL,5,3069,1.63,Car
2004,TOYOTA,TOYOTA,tacoma pickup,259,159348,1.63,Truck
2005,GENERAL MOTORS,BUICK,CENTURY,65,40051,1.62,Car
2007,BMW,BMW,6,11,6779,1.62,Car
2010,CHRYSLER,JEEP,COMPASS,30,18549,1.62,MPV
2007,FORD MOTOR CO,FORD,FREESTAR VAN,30,18579,1.61,MPV
2006,FORD MOTOR CO,FORD,FIVE HUNDRED,134,83031,1.61,Car
2005,FORD MOTOR CO,FORD,explorer,317,196740,1.61,MPV
2010,GENERAL MOTORS,CHEVROLET,CAMARO,190,117961,1.61,Car
2008,CHRYSLER,JEEP,PATRIOT,99,61495,1.61,MPV
2009,GENERAL MOTORS,CHEVROLET,AVEO,94,58439,1.61,Car
2011,NISSAN,NISSAN,maxima,101,0,1.61,Car
2012,GENERAL MOTORS,GMC,CANYON PICKUP,22,13690,1.61,Truck
2007,NISSAN,NISSAN,xterra,74,46074,1.61,MPV
2006,HUMMER,HUMMER,H3,116,72227,1.61,MPV
2005,FORD MOTOR CO,MERCURY,SABLE,58,36134,1.61,Car
2008,MITSUBISHI,MITSUBISHI,lancer,70,43668,1.60,Car
2008,NISSAN,NISSAN,versa,122,76223,1.60,Car
2009,NISSAN,NISSAN,sentra,104,65096,1.60,Car
2013,AUDI,AUDI,A8,9,5635,1.60,Car
2014,HYUNDAI,HYUNDAI,sonata,230,143998,1.60,Car
2004,VOLKSWAGEN,VOLKSWAGEN,r32,8,5017,1.59,Car
2008,MAZDA,MAZDA,tribute,38,23834,1.59,MPV
2007,NISSAN,INFINITI,M35/M45,48,30144,1.59,Car
2014,TOYOTA,TOYOTA,camry,741,466187,1.59,Car
2009,FORD MOTOR CO,FORD,FOCUS,235,148244,1.59,Car
2010,FORD MOTOR CO,FORD,FOCUS,279,176089,1.58,Car
2004,NISSAN,INFINITI,G35,139,87780,1.58,Car
2008,VOLKSWAGEN,VOLKSWAGEN,JETTA GLI,138,87225,1.58,Car
2007,TOYOTA,TOYOTA,yaris,252,159292,1.58,Car
2007,HONDA,HONDA,accord,664,421206,1.58,Car
2008,FORD MOTOR CO,FORD,FOCUS,284,180249,1.58,Car
2005,SAAB,SAAB,9-2x,9,5713,1.58,Car
2007,CHRYSLER,DODGE,NITRO,133,84441,1.58,MPV
2008,NISSAN,INFINITI,M35/M45,26,16522,1.57,Car
2004,HYUNDAI,HYUNDAI,tiburon,33,20977,1.57,Car
2007,MAZDA,MAZDA,rx-8,9,5728,1.57,Car
2004,GENERAL MOTORS,CHEVROLET,TRACKER,24,15276,1.57,MPV
2014,AUDI,AUDI,S7,2,1281,1.56,Car
2006,MAZDA,MAZDA,rx-8,10,6415,1.56,Car
2010,AUDI,AUDI,S4/S5,11,7068,1.56,Car
2007,FORD MOTOR CO,MERCURY,MILAN,55,35375,1.55,Car
2004,HYUNDAI,HYUNDAI,sonata,158,101774,1.55,Car
2010,NISSAN,NISSAN,pathfinder,16,10308,1.55,MPV
2004,MERCEDES-BENZ,MERCEDES-BENZ,208 (clk-class),31,20013,1.55,Car
2008,TOYOTA,TOYOTA,matrix,37,23891,1.55,Car
2005,HONDA,HONDA,accord,576,371940,1.55,Car
2005,FORD MOTOR CO,FORD,EXPLORER SPORT TRAC,83,53640,1.55,Truck
2007,AUDI,AUDI,A6 QUATTRO/S6/S6 AVANT,18,11660,1.54,Car
2008,MAZDA,MAZDA,3,199,129061,1.54,Car
2009,HYUNDAI,HYUNDAI,accent,92,59709,1.54,Car
2012,MASERATI,MASERATI,granturismo,3,1953,1.54,Car
2004,GENERAL MOTORS,BUICK,CENTURY,84,54706,1.54,Car
2007,FORD MOTOR CO,FORD,FIVE HUNDRED,94,61270,1.53,Car
2011,TOYOTA,TOYOTA,yaris,38,0,1.53,Car
2007,TOYOTA,TOYOTA,avalon,121,79137,1.53,Car
2008,GENERAL MOTORS,PONTIAC,VIBE,31,20317,1.53,Car
2012,GENERAL MOTORS,CHEVROLET,CORVETTE,17,11144,1.53,Car
2010,GENERAL MOTORS,CADILLAC,CTS,61,40045,1.52,Car
2006,MERCEDES-BENZ,MERCEDES-BENZ,220 (s-class),22,14472,1.52,Car
2009,NISSAN,NISSAN,versa,159,104658,1.52,Car
2005,HONDA,ACURA,3.2 TL,125,82497,1.52,Car
2009,MAZDA,MAZDA,b series pickup,1,660,1.52,Truck
2004,GENERAL MOTORS,CADILLAC,DEVILLE,111,73274,1.51,Car
2010,NISSAN,NISSAN,altima,340,224551,1.51,Car
2008,TOYOTA,TOYOTA,CAMRY SOLARA,390,257638,1.51,Car
2012,JAGUAR LAND ROVER,JAGUAR,XK/XKR,2,1323,1.51,Car
2013,FORD MOTOR CO,LINCOLN,MKS,26,17203,1.51,Car
2004,FORD MOTOR CO,FORD,THUNDERBIRD,19,12577,1.51,Car
2004,TOYOTA,TOYOTA,matrix,91,60311,1.51,Car
2013,GENERAL MOTORS,BUICK,LACROSSE,82,54416,1.51,Car
2009,CHRYSLER,DODGE,JOURNEY,124,82331,1.51,MPV
2014,BENTLEY MOTORS,BENTLEY MOTORS,FLYING SPUR,2,1329,1.50,Car
2006,GENERAL MOTORS,PONTIAC,VIBE,77,51168,1.50,Car
2005,GENERAL MOTORS,CHEVROLET,COLORADO,206,136994,1.50,Truck
2004,VOLVO,VOLVO,S 40,34,22616,1.50,Car
2005,BMW,BMW,3,88,58554,1.50,Car
2012,NISSAN,INFINITI,G25/G37,85,56585,1.50,Car
2014,FORD MOTOR CO,FORD,FIESTA,113,75291,1.50,Car
2006,FORD MOTOR CO,MERCURY,MOUNTAINEER,46,30676,1.50,MPV
2008,FORD MOTOR CO,MERCURY,GRAND MARQUIS,66,44071,1.50,Car
2013,GENERAL MOTORS,CHEVROLET,SONIC,141,94250,1.50,Car
2010,GENERAL MOTORS,PONTIAC,VIBE,21,14075,1.49,Car
2006,NISSAN,NISSAN,frontier pickup,112,75112,1.49,Truck
2009,KIA,KIA,rio,61,41036,1.49,Car
2009,MERCEDES-BENZ,MERCEDES-BENZ,c-class,86,57872,1.49,Car
2008,NISSAN,NISSAN,frontier pickup,70,47215,1.48,Truck
2005,BMW,BMW,5,42,28346,1.48,Car
2007,NISSAN,NISSAN,murano,137,92516,1.48,MPV
2005,FORD MOTOR CO,MERCURY,MOUNTAINEER,48,32416,1.48,MPV
2011,CHRYSLER,CHRYSLER,300,42,0,1.48,Car
2008,HYUNDAI,HYUNDAI,accent,76,51562,1.47,Car
2004,GENERAL MOTORS,CHEVROLET,TRAILBLAZER,308,209348,1.47,MPV
2009,GENERAL MOTORS,CHEVROLET,CORVETTE,23,15647,1.47,Car
2010,FORD MOTOR CO,MERCURY,GRAND MARQUIS,41,27956,1.47,Car
2012,KIA,KIA,forte,106,72284,1.47,Car
2007,TOYOTA,TOYOTA,highlander,148,100956,1.47,MPV
2004,HONDA,HONDA,s2000,11,7511,1.46,Car
2005,GENERAL MOTORS,SATURN,ION,104,71021,1.46,Car
2007,TOYOTA,TOYOTA,CAMRY SOLARA,1003,685729,1.46,Car
2012,VOLVO,VOLVO,C 70,7,4787,1.46,Car
2008,HYUNDAI,HYUNDAI,elantra,160,109498,1.46,Car
2005,DAIMLERCHRYSLER,CHRYSLER,CROSSFIRE,36,24679,1.46,Car
2007,NISSAN,INFINITI,G35,83,57041,1.46,Car
2005,GENERAL MOTORS,GMC,ENVOY,102,70105,1.45,MPV
2004,DAIMLERCHRYSLER,DODGE,VIPER,3,2065,1.45,Car
2009,NISSAN,NISSAN,370z,16,11024,1.45,Car
2009,NISSAN,NISSAN,xterra,19,13106,1.45,MPV
2014,AUDI,AUDI,A8,7,4830,1.45,Car
2007,GENERAL MOTORS,CHEVROLET,UPLANDER VAN,87,60061,1.45,MPV
2014,VOLKSWAGEN,VOLKSWAGEN,golf,10,6914,1.45,Car
2014,HYUNDAI,HYUNDAI,elantra,218,151185,1.44,Car
2004,DAIMLERCHRYSLER,JEEP,WRANGLER,132,91631,1.44,MPV
2005,KIA,KIA,sportage,35,24351,1.44,MPV
2009,JAGUAR LAND ROVER,JAGUAR,xkr,1,696,1.44,Car
2004,LAMBORGHINI,LAMBORGHINI,gallardo,1,697,1.43,Car
2014,GENERAL MOTORS,CHEVROLET,SPARK,73,50921,1.43,Car
2007,GENERAL MOTORS,CADILLAC,STS,24,16746,1.43,Car
2006,TOYOTA,SCION,XB,125,87219,1.43,Car
2005,GENERAL MOTORS,GMC,CANYON PICKUP,56,39149,1.43,Truck
2005,FORD MOTOR CO,LINCOLN,TOWN CAR,67,46853,1.43,Car
2007,GENERAL MOTORS,CADILLAC,XLR,2,1400,1.43,Car
2007,HONDA,HONDA,s2000,7,4907,1.43,Car
2008,KIA,KIA,sportage,58,40669,1.43,MPV
2012,TOYOTA,TOYOTA,corolla,304,197973,1.43,Car
2004,TOYOTA,TOYOTA,CAMRY SOLARA,532,373268,1.43,Car
2008,TOYOTA,LEXUS,SC,4,2807,1.43,Car
2013,HYUNDAI,HYUNDAI,genesis,70,49177,1.42,Car
2014,FORD MOTOR CO,FORD,FUSION,446,313391,1.42,Car
2009,FORD MOTOR CO,MERCURY,GRAND MARQUIS,30,21102,1.42,Car
2008,GENERAL MOTORS,PONTIAC,SOLSTICE,20,14080,1.42,Car
2014,GENERAL MOTORS,CADILLAC,XTS,43,30282,1.42,Car
2014,AUDI,AUDI,A7,10,7046,1.42,Car
2010,SUZUKI,SUZUKI,sx4,19,13405,1.42,Car
2014,VOLKSWAGEN,VOLKSWAGEN,jetta,259,182896,1.42,Car
2013,FORD MOTOR CO,FORD,FOCUS,332,234537,1.42,Car
2004,TOYOTA,LEXUS,SC,14,9905,1.41,Car
2006,GENERAL MOTORS,BUICK,ALLURE,107,76029,1.41,Car
2005,NISSAN,NISSAN,murano,102,72482,1.41,MPV
2011,FORD MOTOR CO,FORD,crown victoria,27,0,1.40,Car
2011,JAGUAR LAND ROVER,JAGUAR,xj,4,0,1.40,Car
2006,JAGUAR,JAGUAR,xkr,1,713,1.40,Car
2014,TOYOTA,SCION,tC,29,20680,1.40,Car
2008,GENERAL MOTORS,SATURN,AURA,85,60715,1.40,Car
2008,AUDI,AUDI,A6,22,15726,1.40,Car
2010,KIA,KIA,forte,137,98010,1.40,Car
2006,TOYOTA,TOYOTA,tundra pickup,36,25764,1.40,Truck
2013,MERCEDES-BENZ,MERCEDES-BENZ,e-class,70,50159,1.40,Car
2006,GENERAL MOTORS,GMC,ENVOY,68,48745,1.40,MPV
2008,HYUNDAI,HYUNDAI,santa fe,107,76765,1.39,MPV
2013,GENERAL MOTORS,CHEVROLET,CORVETTE,18,12917,1.39,Car
2004,MAZDA,MAZDA,mx-5 miata,12,8620,1.39,Car
2014,TOYOTA,TOYOTA,corolla,466,335224,1.39,Car
2011,FORD MOTOR CO,MERCURY,MARINER,12,0,1.39,MPV
2012,MAZDA,MAZDA,cx-7,11,7945,1.38,MPV
2011,FORD MOTOR CO,FORD,FOCUS,127,0,1.38,Car
2009,GENERAL MOTORS,PONTIAC,TORRENT,13,9403,1.38,MPV
2007,KIA,KIA,amanti,6,4343,1.38,Car
2006,VOLVO,VOLVO,S 60,30,21734,1.38,Car
2014,GENERAL MOTORS,CHEVROLET,CRUZE,476,345204,1.38,Car
2010,GENERAL MOTORS,SATURN,VUE,4,2904,1.38,MPV
2008,CHRYSLER,JEEP,COMPASS,36,26147,1.38,MPV
2007,MERCEDES-BENZ,MERCEDES-BENZ,208 (clk-class),19,13825,1.37,Car
2004,GENERAL MOTORS,GMC,ENVOY,114,83013,1.37,MPV
2014,MITSUBISHI,MITSUBISHI,mirage,29,21149,1.37,Car
2004,MAZDA,MAZDA,3,104,75915,1.37,Car
2006,GENERAL MOTORS,CHEVROLET,EQUINOX,170,124123,1.37,MPV
2012,CHRYSLER,DODGE,CALIBER,15,10953,1.37,Car
2006,JAGUAR,JAGUAR,xk8,2,1463,1.37,Car
2013,VOLKSWAGEN,VOLKSWAGEN,passat,176,128931,1.37,Car
2008,GENERAL MOTORS,CADILLAC,XLR,2,1468,1.36,Car
2005,TOYOTA,TOYOTA,matrix,99,72719,1.36,Car
2007,NISSAN,NISSAN,frontier pickup,87,64010,1.36,Truck
2011,MERCEDES-BENZ,MERCEDES-BENZ,cls-class,2,0,1.36,Car
2008,MAZDA,MAZDA,cx-7,45,33134,1.36,MPV
2004,JAGUAR,JAGUAR,xj8,15,11048,1.36,Car
2012,JAGUAR LAND ROVER,JAGUAR,xj,7,5158,1.36,Car
2007,GENERAL MOTORS,CHEVROLET,COLORADO PICKUP,95,70012,1.36,Truck
2011,HONDA,ACURA,ZDX,1,737,1.36,MPV
2004,GENERAL MOTORS,GMC,SAFARI VAN,6,4428,1.36,MPV
2009,CHRYSLER,JEEP,COMPASS,14,10346,1.35,MPV
2007,GENERAL MOTORS,GMC,CANYON PICKUP,25,18483,1.35,Truck
2005,HYUNDAI,HYUNDAI,santa fe,100,73979,1.35,MPV
2004,VOLVO,VOLVO,V 40,4,2963,1.35,Car
2010,TOYOTA,TOYOTA,4runner,18,13345,1.35,MPV
2006,VOLKSWAGEN,VOLKSWAGEN,passat,85,63019,1.35,Car
2006,NISSAN,NISSAN,murano,105,77852,1.35,MPV
2004,HONDA,HONDA,civic,390,289347,1.35,Car
2014,FORD MOTOR CO,LINCOLN,MKS,15,11132,1.35,Car
2006,NISSAN,NISSAN,pathfinder,100,74219,1.35,MPV
2009,NISSAN,NISSAN,frontier pickup,31,23030,1.35,Truck
2005,HYUNDAI,HYUNDAI,xg300,27,20099,1.34,Car
2004,GENERAL MOTORS,CHEVROLET,ASTRO VAN,28,20892,1.34,MPV
2007,BMW,BMW,7,22,16421,1.34,Car
2004,JAGUAR,JAGUAR,s-type,10,7469,1.34,Car
2014,CHRYSLER,DODGE,JOURNEY,122,91151,1.34,MPV
2004,GENERAL MOTORS,CHEVROLET,AVEO,92,68741,1.34,Car
2012,KIA,KIA,rio,34,25441,1.34,Car
2008,NISSAN,INFINITI,G37,39,29182,1.34,Car
2007,TOYOTA,TOYOTA,fj cruiser,112,83830,1.34,MPV
2010,NISSAN,NISSAN,maxima,89,66639,1.34,Car
2011,NISSAN,INFINITI,G25/G37,72,0,1.34,Car
2013,FORD MOTOR CO,FORD,FUSION,342,256170,1.34,Car
2009,VOLVO,VOLVO,S 40,9,6743,1.33,Car
2007,MAZDA,MAZDA,3,153,114723,1.33,Car
2006,BMW,BMW,5,62,46563,1.33,Car
2005,GENERAL MOTORS,PONTIAC,VIBE,95,71357,1.33,Car
2009,AUDI,AUDI,A3,5,3761,1.33,Car
2004,KIA,KIA,sorento,63,47404,1.33,MPV
2005,GENERAL MOTORS,CADILLAC,DEVILLE,76,57246,1.33,Car
2010,NISSAN,NISSAN,xterra,31,23420,1.32,MPV
2005,VOLKSWAGEN,VOLKSWAGEN,jetta,116,87710,1.32,Car
2008,FORD MOTOR CO,FORD,EDGE,170,128607,1.32,MPV
2007,NISSAN,NISSAN,versa,107,80962,1.32,Car
2008,VOLKSWAGEN,VOLKSWAGEN,golf/rabbit/gti,47,35696,1.32,Car
2004,GENERAL MOTORS,CHEVROLET,MALIBU,127,96605,1.31,Car
2006,FORD MOTOR CO,FORD,RANGER PICKUP,110,83737,1.31,Truck
2004,FORD MOTOR CO,FORD,EXPLORER SPORT TRAC,79,60166,1.31,Truck
2005,AUDI,AUDI,A8,7,5336,1.31,Car
2006,MAZDA,MAZDA,3,125,95420,1.31,Car
2009,MERCEDES-BENZ,MERCEDES-BENZ,cls-class,5,3827,1.31,Car
2011,MAZDA,MAZDA,rx-8,1,768,1.30,Car
2005,VOLKSWAGEN,VOLKSWAGEN,phaeton,1,768,1.30,Car
2007,SUBARU,SUBARU,impreza,51,39198,1.30,Car
2005,MAZDA,MAZDA,tribute,68,52267,1.30,MPV
2005,JAGUAR,JAGUAR,VANDEN PLAS SUPER V8,4,3075,1.30,Car
2006,NISSAN,NISSAN,xterra,78,59988,1.30,MPV
2004,NISSAN,NISSAN,frontier pickup,100,77079,1.30,Truck
2012,FORD MOTOR CO,FORD,FOCUS,413,318556,1.30,Car
2009,FORD MOTOR CO,FORD,EDGE,58,44744,1.30,MPV
2004,GENERAL MOTORS,BUICK,PARK AVENUE,22,16985,1.30,Car
2009,GENERAL MOTORS,BUICK,ALLURE,24,18532,1.30,Car
2011,MASERATI,MASERATI,granturismo,2,0,1.29,Car
2006,MAZDA,MAZDA,mpv van,13,10054,1.29,MPV
2014,NISSAN,NISSAN,sentra,273,211339,1.29,Car
2006,FORD MOTOR CO,MERCURY,GRAND MARQUIS,64,49578,1.29,Car
2010,MAZDA,MAZDA,5,26,20150,1.29,MPV
2007,AUDI,AUDI,A4 QUATTRO/S4/S4 AVANT,64,49645,1.29,Car
2010,TOYOTA,TOYOTA,corolla,615,478294,1.29,Car
2004,SUZUKI,SUZUKI,vitara/grand vitara,44,34227,1.29,MPV
2007,NISSAN,NISSAN,quest van,47,36661,1.28,MPV
2010,HYUNDAI,HYUNDAI,elantra,194,151343,1.28,Car
2012,SUZUKI,SUZUKI,sx4,20,15617,1.28,Car
2005,FORD MOTOR CO,FORD,crown victoria,24,18754,1.28,Car
2007,HONDA,ACURA,TSX,29,22669,1.28,Car
2009,TOYOTA,TOYOTA,yaris,93,72826,1.28,Car
2006,VOLKSWAGEN,VOLKSWAGEN,golf/rabbit/gti,24,18806,1.28,Car
2006,MITSUBISHI,MITSUBISHI,outlander,13,10190,1.28,MPV
2006,FORD MOTOR CO,FORD,ESCAPE,194,152125,1.28,MPV
2012,AUDI,AUDI,A7,15,11768,1.27,Car
2007,KIA,KIA,sportage,58,45512,1.27,MPV
2008,GENERAL MOTORS,CHEVROLET,UPLANDER VAN,93,73084,1.27,MPV
