year,manufacturer,make,make/model,thefts,production,rate,type
2006,FORD MOTOR CO,FORD,FOCUS,436,135929,3.21,Car
2010,NISSAN,INFINITI,FX35,30,9385,3.20,MPV
2006,FORD MOTOR CO,FORD,crown victoria,35,10955,3.19,Car
2007,CHRYSLER,DODGE,CALIBER,560,175537,3.19,Car
2008,SUZUKI,SUZUKI,xl7,78,24555,3.18,MPV
2004,MITSUBISHI,MITSUBISHI,endeavor,177,56030,3.16,MPV
2006,HYUNDAI,HYUNDAI,accent,59,18685,3.16,Car
2005,TOYOTA,LEXUS,IS,20,6343,3.15,Car
2010,MITSUBISHI,MITSUBISHI,galant,38,12053,3.15,Car
2004,GENERAL MOTORS,PONTIAC,SUNFIRE,114,36176,3.15,Car
2005,DAIMLERCHRYSLER,CHRYSLER,300,499,158545,3.15,Car
2011,NISSAN,INFINITI,FX35,21,0,3.13,MPV
2006,KIA,KIA,optima,143,45859,3.12,Car
2007,KIA,KIA,optima,127,40914,3.10,Car
2005,SUZUKI,SUZUKI,verona,23,7410,3.10,Car
2008,ASTON MARTIN,ASTON MARTIN,DB9,1,323,3.10,Car
2007,NISSAN,NISSAN,350z,49,15831,3.10,Car
2005,HYUNDAI,HYUNDAI,accent,158,51121,3.09,Car
2004,NISSAN,NISSAN,altima,273,88348,3.09,Car
2012,GENERAL MOTORS,CHEVROLET,CAMARO,249,80707,3.09,Car
2011,NISSAN,NISSAN,gt-r,1,326,3.07,Car
2004,GENERAL MOTORS,CHEVROLET,CAVALIER,658,215275,3.06,Car
2005,GENERAL MOTORS,CHEVROLET,AVEO,196,64250,3.05,Car
2005,HYUNDAI,HYUNDAI,tiburon,46,15100,3.05,Car
2005,GENERAL MOTORS,CHEVROLET,IMPALA,701,230633,3.04,Car
2008,FORD MOTOR CO,FORD,MUSTANG,287,94476,3.04,Car
2008,GENERAL MOTORS,CHEVROLET,COBALT,535,176456,3.03,Car
2012,TOYOTA,TOYOTA,yaris,166,54886,3.02,Car
2010,CHRYSLER,CHRYSLER,SEBRING,130,43022,3.02,Car
2005,NISSAN,NISSAN,350z,82,27146,3.02,Car
2013,GENERAL MOTORS,CHEVROLET,CAMARO,258,85584,3.01,Car
2009,VOLVO,VOLVO,V 70,3,996,3.01,Car
2008,NISSAN,NISSAN,pathfinder,76,25262,3.01,MPV
2008,KIA,KIA,spectra,181,60253,3.00,Car
2013,NISSAN,INFINITI,FX37/FX50,41,13669,3.00,MPV
2007,NISSAN,INFINITI,FX35,40,13346,3.00,MPV
2010,TOYOTA,LEXUS,SC,1,335,2.99,Car
2012,NISSAN,NISSAN,pathfinder,47,15765,2.98,MPV
2013,AUDI,AUDI,S8,3,1015,2.96,Car
2014,VOLVO,VOLVO,S 80,2,677,2.95,Car
2007,GENERAL MOTORS,CADILLAC,DTS,140,47396,2.95,Car
2005,MITSUBISHI,MITSUBISHI,eclipse,25,8471,2.95,MPV
2005,FORD MOTOR CO,LINCOLN,LS,64,21743,2.94,Car
2010,CHRYSLER,DODGE,AVENGER,197,67604,2.91,Car
2009,GENERAL MOTORS,PONTIAC,G5,60,20623,2.91,Car
2004,TOYOTA,SCION,XB,73,25098,2.91,Car
2005,GENERAL MOTORS,CHEVROLET,COBALT,410,140975,2.91,Car
2012,CHRYSLER,CHRYSLER,200,352,121175,2.90,Car
2010,KIA,KIA,rio,55,18975,2.90,Car
2008,GENERAL MOTORS,CHEVROLET,IMPALA,923,320116,2.88,Car
2007,GENERAL MOTORS,CHEVROLET,IMPALA,769,267375,2.88,Car
2008,SUZUKI,SUZUKI,forenza,61,21358,2.86,Car
2014,BMW,BMW,7,28,9818,2.85,Car
2005,NISSAN,INFINITI,QX56,36,12666,2.84,MPV
2009,GENERAL MOTORS,PONTIAC,G6,281,99226,2.83,Car
2005,NISSAN,NISSAN,maxima,209,73931,2.83,Car
2013,HONDA,ACURA,ZDX,1,354,2.82,MPV
2008,ISUZU,ISUZU,ascender,3,1063,2.82,MPV
2006,MAZDA,MAZDA,6,190,67327,2.82,Car
2013,FORD MOTOR CO,FORD,MUSTANG,214,75914,2.82,Car
2008,VOLVO,VOLVO,S 40,33,11753,2.81,Car
2005,NISSAN,NISSAN,altima,1035,368779,2.81,Car
2009,CHRYSLER,DODGE,CALIBER,125,44554,2.81,Car
2004,KIA,KIA,optima,186,66397,2.80,Car
2010,NISSAN,INFINITI,M35/M45,12,4287,2.80,Car
2006,FORD MOTOR CO,FORD,MUSTANG,431,153977,2.80,Car
2005,MAZDA,MAZDA,6,191,68252,2.80,Car
2008,BMW,BMW,7,38,13599,2.79,Car
2008,CHRYSLER,DODGE,NITRO,135,48377,2.79,MPV
2005,SUZUKI,SUZUKI,reno,16,5736,2.79,Car
2006,SUZUKI,SUZUKI,reno,22,7900,2.78,Car
2005,TOYOTA,SCION,XB,187,67396,2.77,Car
2009,CHRYSLER,CHRYSLER,PT CRUISER,69,24876,2.77,MPV
2004,FORD MOTOR CO,FORD,FOCUS,302,109050,2.77,Car
2006,MITSUBISHI,MITSUBISHI,lancer,121,43750,2.77,Car
2006,GENERAL MOTORS,CHEVROLET,AVEO,142,51353,2.77,Car
2014,PORSCHE,PORSCHE,panamera,19,6895,2.76,Car
2004,GENERAL MOTORS,CHEVROLET,IMPALA,743,269733,2.75,Car
2010,GENERAL MOTORS,CHEVROLET,HHR,178,64733,2.75,MPV
2006,BMW,BMW,7,77,28012,2.75,Car
